team_abbrev,home_away,stint_number,change_type,change_summary,players_in,players_out,previous_lineup,new_lineup,new_lineup_id,start_elapsed_seconds,end_elapsed_seconds,duration_seconds,duration_minutes,start_elapsed_minutes,end_elapsed_minutes,start_game_clock_label,end_game_clock_label,start_home_score,start_away_score,end_home_score,end_away_score,points_for,points_against,plus_minus
TOR,home,30,Substitution,IN: Maria Conde / OUT: Kiki Rice,Maria Conde,Kiki Rice,Julie Allemand | Kiki Rice | Laura Juskaite | Marina Mabrey | Temi Fagbenle,Julie Allemand | Laura Juskaite | Maria Conde | Marina Mabrey | Temi Fagbenle,Julie Allemand || Laura Juskaite || Maria Conde || Marina Mabrey || Temi Fagbenle,2045.0,2134.0,89.0,1.4833333333333334,34.083333333333336,35.56666666666667,Q4 5:55,Q4 4:26,49.0,54.0,53.0,56.0,4.0,2.0,2.0
TOR,home,32,Substitution,IN: Nyara Sabally / OUT: Temi Fagbenle,Nyara Sabally,Temi Fagbenle,Julie Allemand | Laura Juskaite | Maria Conde | Marina Mabrey | Temi Fagbenle,Julie Allemand | Laura Juskaite | Maria Conde | Marina Mabrey | Nyara Sabally,Julie Allemand || Laura Juskaite || Maria Conde || Marina Mabrey || Nyara Sabally,2142.0,2190.0,48.0,0.8,35.7,36.5,Q4 4:18,Q4 3:30,57.0,56.0,57.0,58.0,0.0,2.0,-2.0
TOR,home,33,Substitution,IN: Brittney Sykes / OUT: Maria Conde,Brittney Sykes,Maria Conde,Julie Allemand | Laura Juskaite | Maria Conde | Marina Mabrey | Nyara Sabally,Brittney Sykes | Julie Allemand | Laura Juskaite | Marina Mabrey | Nyara Sabally,Brittney Sykes || Julie Allemand || Laura Juskaite || Marina Mabrey || Nyara Sabally,2190.0,2209.0,19.0,0.31666666666666665,36.5,36.81666666666667,Q4 3:30,Q4 3:11,57.0,58.0,57.0,60.0,0.0,2.0,-2.0
WSH,away,1,Starting Lineup,Starting lineup: Cassandre Prosper | Georgia Amoore | Kiki Iriafen | Shakira Austin | Sonia Citron,"Cassandre Prosper, Georgia Amoore, Kiki Iriafen, Shakira Austin, Sonia Citron",,,Cassandre Prosper | Georgia Amoore | Kiki Iriafen | Shakira Austin | Sonia Citron,Cassandre Prosper || Georgia Amoore || Kiki Iriafen || Shakira Austin || Sonia Citron,0.0,200.0,200.0,3.3333333333333335,0.0,3.3333333333333335,Q1 10:00,Q1 6:40,0.0,0.0,6.0,6.0,6.0,6.0,0.0
WSH,away,3,Substitution,"IN: Alex Wilson, Angela Dugalic, Lauren Betts, Rori Harmon / OUT: Cassandre Prosper, Georgia Amoore, Kiki Iriafen, Shakira Austin","Alex Wilson, Angela Dugalic, Lauren Betts, Rori Harmon","Cassandre Prosper, Georgia Amoore, Kiki Iriafen, Shakira Austin",Cassandre Prosper | Georgia Amoore | Kiki Iriafen | Shakira Austin | Sonia Citron,Alex Wilson | Angela Dugalic | Lauren Betts | Rori Harmon | Sonia Citron,Alex Wilson || Angela Dugalic || Lauren Betts || Rori Harmon || Sonia Citron,278.0,371.0,93.0,1.55,4.633333333333334,6.183333333333334,Q1 5:22,Q1 3:49,6.0,13.0,6.0,13.0,0.0,0.0,0.0
WSH,away,4,Substitution,IN: Lucy Olsen / OUT: Sonia Citron,Lucy Olsen,Sonia Citron,Alex Wilson | Angela Dugalic | Lauren Betts | Rori Harmon | Sonia Citron,Alex Wilson | Angela Dugalic | Lauren Betts | Lucy Olsen | Rori Harmon,Alex Wilson || Angela Dugalic || Lauren Betts || Lucy Olsen || Rori Harmon,371.0,409.0,38.0,0.6333333333333333,6.183333333333334,6.816666666666666,Q1 3:49,Q1 3:11,6.0,13.0,6.0,13.0,0.0,0.0,0.0
WSH,away,6,Substitution,"IN: Georgia Amoore, Kiki Iriafen, Shakira Austin, Sonia Citron / OUT: Alex Wilson, Angela Dugalic, Lauren Betts, Rori Harmon","Georgia Amoore, Kiki Iriafen, Shakira Austin, Sonia Citron","Alex Wilson, Angela Dugalic, Lauren Betts, Rori Harmon",Alex Wilson | Angela Dugalic | Lauren Betts | Lucy Olsen | Rori Harmon,Georgia Amoore | Kiki Iriafen | Lucy Olsen | Shakira Austin | Sonia Citron,Georgia Amoore || Kiki Iriafen || Lucy Olsen || Shakira Austin || Sonia Citron,555.6,600.0,44.39999999999998,0.7399999999999997,9.26,10.0,Q1 0:44,Q2 10:00,13.0,15.0,13.0,17.0,2.0,0.0,2.0
WSH,away,7,Substitution,IN: Alex Wilson / OUT: Lucy Olsen,Alex Wilson,Lucy Olsen,Georgia Amoore | Kiki Iriafen | Lucy Olsen | Shakira Austin | Sonia Citron,Alex Wilson | Georgia Amoore | Kiki Iriafen | Shakira Austin | Sonia Citron,Alex Wilson || Georgia Amoore || Kiki Iriafen || Shakira Austin || Sonia Citron,600.0,674.0,74.0,1.2333333333333334,10.0,11.233333333333333,Q2 10:00,Q2 8:46,13.0,17.0,15.0,19.0,2.0,2.0,0.0
WSH,away,10,Substitution,IN: Lucy Olsen / OUT: Alex Wilson,Lucy Olsen,Alex Wilson,Alex Wilson | Georgia Amoore | Kiki Iriafen | Shakira Austin | Sonia Citron,Georgia Amoore | Kiki Iriafen | Lucy Olsen | Shakira Austin | Sonia Citron,Georgia Amoore || Kiki Iriafen || Lucy Olsen || Shakira Austin || Sonia Citron,795.0,813.0,18.0,0.3,13.25,13.55,Q2 6:45,Q2 6:27,19.0,23.0,19.0,24.0,1.0,0.0,1.0
WSH,away,11,Substitution,"IN: Cassandre Prosper, Rori Harmon / OUT: Georgia Amoore, Sonia Citron","Cassandre Prosper, Rori Harmon","Georgia Amoore, Sonia Citron",Georgia Amoore | Kiki Iriafen | Lucy Olsen | Shakira Austin | Sonia Citron,Cassandre Prosper | Kiki Iriafen | Lucy Olsen | Rori Harmon | Shakira Austin,Cassandre Prosper || Kiki Iriafen || Lucy Olsen || Rori Harmon || Shakira Austin,813.0,869.0,56.0,0.9333333333333333,13.55,14.483333333333333,Q2 6:27,Q2 5:31,19.0,24.0,23.0,26.0,2.0,4.0,-2.0
